properties/description,properties/name,properties/phoneNumber,properties/address/city,properties/address/house,properties/address/postalCode,properties/address/street,properties/originalId,actueel,gewijzigd,properties/placeWebsiteUrl
Wijkcentra en buurthuizen,Wijkservicepunt Hoekhuis,020 - 462 33 53,AMSTERDAM,3,1097 SC,Fizeaustraat,0,Ja,NAW,https://www.zgao.nl/zorg-en-behandeling-thuis/wijkservicepunt-hoekhuis.html
Gezondheidscentra,MOC 't Kabouterhuis Zuidoost,020-4530191,AMSTERDAM ZUIDOOST,28,1108 EL,Leksmondplein,1,Ja,NAW,www.kabouterhuis.nl
Onderwijsinstellingen en scholen,"16e Montessorischool ""Gaasperdam""",020 6963262,AMSTERDAM ZUIDOOST,6,1106 DV,Vreeswijkpad,2,Ja,NAW,https://montessori.nl/school/16e-montessorischool-gaasperdam/
Kantoorgebouwen,Initiatiefgroep Bouwwoede Oud-Zuid,,AMSTERDAM,42,1077 SM,Stadionweg,3,ja,NAW,https://www.bouwwoedeoudzuid.nl
Tandartsen,ACTA,020 - 5980888,AMSTERDAM,3004,1081 LA,Gustav Mahlerlaan,4,Ja,NAW,www.acta.nl
Wijkcentra en buurthuizen,Huis van de Wijk België,020 - 617 82 35,AMSTERDAM,117,1066 SB,Hageland,5,Ja,NAW,https://www.eigenwijks.nl/nieuw-sloten/
Wijkcentra en buurthuizen,Buurthuis De Aker,020 - 610 40 60,AMSTERDAM,2,1069 PC,Noorderakerweg,6,Ja,NAW,https://www.eigenwijks.nl/
Wijkcentra en buurthuizen,Buurthuis Bonte Kraai,020 240 66 55,AMSTERDAM ZUIDOOST,68,1104 CD,Kraaiennest,7,Ja,NAW,www.buurthuizenzuidoost.nl
Wijkcentra en buurthuizen,Buurthuis Gein,020 240 66 44,AMSTERDAM ZUIDOOST,83,1107 NB,Wisseloord,8,Ja,NAW,www.buurthuizenzuidoost.nl
Wijkcentra en buurthuizen,Huis van de wijk Het Anker,06-39717877,AMSTERDAM,427,1065 DC,Jacques Veltmanstraat,9,Ja,NAW,http://www.huisvandewijknieuwwest.nl/category/hetanker/
Wijkcentra en buurthuizen,Buurthuis Osdorp,,AMSTERDAM,1,1069 AJ,Ouwerdingenpad,10,Nee,Verhuisd,https://www.nieuwreimerswaal.nl/buurthuis-osdorp
Supermarkten,Albert Heijn Watergraafsmeer,020-6947165,AMSTERDAM,63,1098 LE,Helmholtzstraat,11,Ja,,http://www.ah.nl/winkel/albert-heijn/Amsterdam/Helmholtzstraat/1006
Supermarkten,Albert Heijn IJburg,020 - 4161785,AMSTERDAM,715,1087 BS,IJburglaan,12,Ja,,http://www.ah.nl/winkel/albert-heijn/Amsterdam/IJburglaan/1493
Supermarkten,Albert Heijn Spaarndammerstraat,020-6880855,AMSTERDAM,3,1013 ZM,Spaarndammerdijk,13,Ja,,http://www.ah.nl/winkel/albert-heijn/Amsterdam/Spaarndammerdijk/1338
Musea,Allard Pierson Museum,+ 31 (0)20 52 52 556,AMSTERDAM,127,1012 GC,Oude Turfmarkt,14,Ja,NAW,https://allardpierson.nl/bezoek/toegankelijkheid/
Hotels,Amsterdam Manor Hotel,020 700 8400,AMSTERDAM,89,1093 EK,Linnaeusstraat,15,Ja,,http://manor-amsterdam-hampshire.h-rzn.com/index_nl.htm?lbl=ggl
Musea,Anne Frank Huis,+31 (0)20 - 5567100,AMSTERDAM,267,1016 GV,Prinsengracht,16,Ja,NAW,https://www.annefrank.org/nl/museum/praktische-informatie/toegankelijkheid/
